item_id,item_desc,quantity
9781399800013,POWER OF IDEAS,9
9781399800020,POWER OF IDEAS,1
9781399800075,DEFENDER FAITH,2
9781399801324,WHISTLESTOP TA,1
9781399801515,REPACKAGING,1
9781399801539,REPACKAGING C,22
9781399802574,RAMBLING MAN,4
9781399802611,RAMBLING,8
9781399802659,COMPANY,9
9781399802710,HARDEST PROB,1
9781399803359,OH MIRIAM!: ST,8
9781399803373,"OH, MIRIAM",2
9781399804691,NEXT TO NATU,3
9781399805094,MIND FUEL,18
9781399805247,GODFORSAKEN,11
9781399805254,GODFORSAKEN,1
9781399805278,P IS 4 PILGRIM,21
9781399806480,GOD'S COSMIC,5
9781399806749,MIND FUEL 4 YE,4
9781399807142,EASTR ANTHOLOG,6
9781399807517,DECK THE HALL,8
9781399809481,HOW TYRANTS,1
9781399809870,DO YOUR BEST,2
9781399811095,BEING HUMAN,4
9781399811675,INTERESTING,7
9781399814843,MANGA BIBLE,94
9781408304372,BEAST QUEST 25,1
9781408307359,BQ SPCL 5,3
9781408313114,BEAST QUEST 44,1
9781408313206,BQ 53,1
9781408313213,BQ 54,1
9781408313220,BQ SPCL 7,2
9781408315200,BQ 57,1
9781408315231,BQ 60,2
9781408318409,BQ MSTR DST 3,1
9781408318676,BQ BTTLE BST,1
9781408324103,BQ SPCL 12,1
9781408326428,KATIE LNDN XMS,1
9781408327647,MVS MERMDSISTR,3
9781408327685,MVS GIRL GLASS,2
9781408329160,SCRT KNGDOM PX,2
9781408331934,KATIE IN LNDN,3
9781408332412,KATIE IN SCOTL,2
9781408332429,KTIE SPN PRNCS,1
9781408332450,KATIE WATERLIL,1
9781408334874,BQ 83,1
9781408336434,UNICORN PRINCE,1
9781408338872,MAGICANF MATFW,2
9781408340806,GQ 92 THORON,2
9781408340868,BQ 95 KRYTOR,1
9781408342978,BQ SPECIAL 18,1
9781408342992,BQ SPECIAL 19,1
9781408343074,BEAST QUEST S,2
9781408343135,BEAST QUST 100,4
9781408343210,BQ SKALIX SNP,3
9781408343234,BQ OKIRA CRSHR,1
9781408343333,BQ LYPIDA SHDW,1
9781408343364,BEASTQUESTMENO,7
9781408343449,BEAST QUEST Q,1
9781408343470,BEAST QUEST T,1
9781408343494,BEAST QUEST X,3
9781408345474,BQ ULTIMATE,2
9781408345702,CINDERELLA,1
9781408349823,DSCVR ART KTIE,1
9781408349922,BOY WHO STEALS,1
9781408351727,CHRISTMAS CARO,3
9781408353523,THERE'S A LION,2
9781408355756,OSCAR THE HUNG,2
9781408355961,BLUE,3
9781408357774,BEAST QUEST: F,1
9781408357798,BEAST QUEST: M,1
9781408357859,BEAST QUEST: N,1
9781408357910,BEAST QUEST: S,1
9781408359396,OSCAR THE HUNG,2
9781408359532,OSCAR THE HUNG,1
9781408361863,BEAST QUEST: L,1
9781408361887,BEAST QUEST: G,11
9781408362143,BEAST QUEST:,3
9781408362181,BEAST QUEST:,1
9781408362204,BEAST QUEST:,2
9781408365298,BEASTQ DDTHFSH,1
9781408365403,BEAST QUEST: K,1
9781408367421,BEAST QUEST:,22
9781408367445,BEAST QUEST:,27
9781408367469,BEAST QUEST:,8
9781408369678,BEAST QUEST:,20
9781408369692,BEAST QUEST:,144
9781408369715,BEAST QUEST:,13
9781408371824,BEAST QUEST:,5
9781408371930,BEAST QUEST:,32
9781408711330,DESERT SNIPER,2
9781408713488,BRIEF HISTORY,2
9781408713549,MIGRANTS,3
9781408714010,FOLLOW MONEY,2
9781408714324,ART OF PINK FL,1
9781408715185,BANGALORE DETE,1
9781408715314,VENETIAN CANDI,5
9781408715345,VENETIAN CANDI,10
9781408715352,VENETIAN SANCT,30
9781408715895,CITY OF GOD,4
9781408715901,KILLER XMAS AT,121
9781408715925,DAGGER OF DEAT,8
9781408715963,TURNING OVER T,4
9781408715970,TURNING OVER T,1
9781408716236,OBSESSED,2
9781408716373,SOCIETY OF TH,59
9781408716540,DEAD FIND,3
9781408716557,"BLOTTO, TWINK",1
9781408716588,BLOTTO PHANTOM,101
9781408716670,IT'S NOT ABO,2
9781408716731,GLOWING STIL,1
9781408717004,ANGASANA TREE,33
9781408717080,SORT YOUR HEAD,2
9781408717097,SORT YOUR HEAD,5
9781408717264,I KNOW WHO U W,1
9781408717776,DEEP POCKETS,1
9781408717790,DEEP POCKETS,10
9781408717844,UNEXPECT GUEST,19
9781408718186,DEADLINE DAY,7
9781408718773,UNMARKED GRAV,5
9781408718995,DEATH IN THE,3
9781408719404,SMART MONEY,202
9781408719442,ECHOING G,4
9781408725306,AFAIR O ASHMOR,12
9781408725320,AFAIR O ASHMOR,3
9781408726495,WILL I EVER PE,1
9781408726808,WILD LIGHT,2
9781408727119,HAVE I GOT N,2
9781408727195,FEVER PITCH,1
9781408727584,WINTER SPIRITS,21
9781408728406,THIS BOOK WI,3
9781408728413,UKRAINIAN XMAS,6
9781408728932,NY WINTER,5
9781408729298,OUT OF DARKNE,16
9781408729489,MISTRES ASHMOR,3
9781408729496,MISTRES ASHMOR,15
9781408729502,GATHERIN STORM,67
9781408729557,MIDWINTER TAIL,1
9781408730690,GRT BRITISH DA,3
9781408731109,FOREVER IN T,25
9781408732304,SO TELL ME W,122
9781408732953,TREASURE KHAN,2
9781408733028,HAVANA STORM,1
9781408733042,NAVIGATOR,25
9781409129233,PUSHINGTHELIMT,1
9781409137375,GETCHA RCKS OF,1
9781409148142,GRIFF SENDS LV,1
9781409152071,EAT CHOLESTERO,1
9781409155812,ALRGY FREE FAM,1
9781409157755,MARADONA,1
9781409157779,MARADONA,2
9781409163381,RDY STDY GLOW,1
9781409164166,GOOD GUT GUIDE,1
9781409165071,ON BOMBSHELL,1
9781409166382,CLEARSKNCOOKBK,1
9781409172437,PRESUMED DEAD,1
9781409172475,WHAT SHE SAW L,1
9781409172703,LIVING THE LIF,1
9781409172819,SWRD OF JUSTCE,1
9781409174776,FITTER FASTER,1
9781409175070,HAPPY,3
9781409175933,SLEEPER 13,2
9781409176411,OVERSHARE,1
9781409176596,LAST GREEK,1
9781409176992,SONG FOR THE D,1
9781409177067,SOLDTOBEAWIFE,1
9781409177586,SELFCARE PROJT,2
9781409179306,WEDDING PARTY,1
9781409179535,GRIME KIDS,2
9781409179818,TOOSCAREDTOCRY,1
9781409179849,2 LIVES LOUISL,1
9781409180289,EMPEROR'S SWO,4
9781409180883,ARE WE NEARLY,1
9781409181231,DENIAL,1
9781409182955,USE OF SELF,1
9781409183150,QUIET,1
9781409183433,365 DAYS OF SC,2
9781409184584,FIVE STEP HAPP,1
9781409184690,FESTIVAL,1
9781409185055,SPRING COMES T,1
9781409185741,REBUS LONG SH,1
9781409186731,PATCHWORK FAMI,1
9781409187707,SIGN OF DEVIL,2
9781409187745,CHOICE,1
9781409188506,CAT AND MOUSE,6
9781409188520,CAT AND MOUSE,2
9781409188551,SELF?ACCEPTANC,1
9781409189022,DADDY'S LITTLE,3
9781409190271,UNWANTED DEAD,1
9781409191117,THIS IS THIS C,1
9781409191223,COMPARISON CUR,5
9781409192411,BLACK FELL,3
9781409192657,NINE LIVES OF,2
9781409193692,DARKNESS FALLS,1
9781409195436,POPPY THE STRE,1
9781409197430,LONG WAY FROM,2
9781409197911,NAPOLEON'S SP,25
9781409198215,TREAS O SPARTA,4
9781409198321,PACT,1
9781409198871,UP IN SMOKE -,1
9781409199892,EMBRACING CHAN,1
9781444730289,CLMR HAPPR HMW,1
9781444734164,IS IT JUST ME,1
9781444743579,AFT THE WEDDIN,2
9781444745672,WISDOM HOUSE,2
9781444750133,HIST CHRISTNTY,1
9781444753479,CLMR HAPPR BYS,49
9781444763171,CRUEL FATE,9
9781444779967,THOSE BELOW,2
9781444792065,LYDIA,3
9781444794731,ORPHANAGE OF G,1
9781444799934,GREAT TROLL WA,1
9781444799965,GREAT TROLL WA,2
9781444913989,HOW BTRY DRAGN,1
9781444914115,CHERUB: LONE W,1
9781444914146,CHERUB: NEW GU,1
9781444928563,CHERUB: LONE W,1
9781444932188,CHRISTMFRYTMUP,2
9781444933277,NADIYA BK STRY,1
9781444934397,EVIE SLVR UNIC,2
9781444937268,SWAPSIES,4
9781444937282,"READY, RABBIT?",1
9781444938418,ADVENTURES OF,1
9781444939781,CHERUB: CLASS,1
9781444940107,MRS BLACKHAT,3
9781444941999,EMILYBROWNFACH,1
9781444945324,AGENT WEASEL A,1
9781444946314,WHERE THE SEA,2
9781444950786,FLEA SEEKS DOG,3
9781444952971,JACK'S SECRET,52
9781444952995,JACK SECRET WO,54
9781444956122,BONES AND BISC,1
9781444958232,BUNNY'S FIRST,3
9781444958324,BUNNY'S FIRST,2
9781444960075,MYSTERY BU BK1,1
9781444960310,MYSTERY OF DIS,1
9781444960341,MYSTERY OF SEC,1
9781444960372,MYSTERY OF SPI,2
9781444960402,MYSTERY OF MIS,3
9781444960433,MYSTERY HID B6,2
9781444960464,MYSTERY PAN B7,1
9781444961119,MO TALLY BK12,1
9781444961171,MOS MESS BK14,1
9781444961201,MYSTERY BA B15,1
9781444962000,STORIES OF S,1
9781444962574,WISHING-CHAIR,4
9781444962666,JANE AUSTEN'S,3
9781444962680,JANE AUSTEN'S,1
9781444963373,MFT NEW ADVENT,20
9781444963380,MFT NEW ADVENT,1
9781444965391,STORIES OF MIS,2
9781444965971,STORIES OF NAT,1
9781444966053,STORIES OF ANI,2
9781444966060,ENCHNTDLIB(WA),2
9781444966077,ENCHANTED LIBR,1
9781444966084,ENCHNTDLIB(SN),2
9781444966091,ENCHNTDLIB(FF),1
9781444966107,ENCHNTDLIB(TT),1
9781444966114,STORIES OF FAV,2
9781444966138,STORIES OF DRE,2
9781444967104,FAMOUS 5 COLOU,8
9781444967128,FAMOUS FIVE,6
9781444969214,FIVE-MINUTE,3
9781444969245,STORIES OF T,1
9781444969276,SPELLBINDING,56
9781444969306,STORIES FOR C,18
9781444969719,MYSTRY S C3,2
9781444974652,GOODNIGHT ST,34
9781444974683,FIVE-MINU,41
9781444974775,CRONGTON STORY,1
9781444974782,CRONGTON STORY,5
9781445146485,CURIOSITY BOX:,2
9781445152462,SS RUGBY,1
9781445156989,TIME TRAVEL GU,1
9781445159034,NEW ADVENTURES,1
9781445161686,IT'S MY BODY,1
9781472103536,LEGACY,16
9781472114242,SAVOY COCKTAIL,7
