series_code,series_desc,pallet_id,pallet_available_flag,item_id,item_desc,family_code,reporting_group_desc,publisher_desc,imprint_desc,us_price,can_price,pub_date,quantity,Extended Retail,Extended @ 3%
9780316072212,HUK AGED ASSORTED,MO065219,Y,9781408359396,OSCAR THE HUNG,23030202,BOOKPOINT,HACHETTE CHILDREN`S,ORCHARD BOOKS,10.99,12.99,2022-03-15,1,12.99,0.39
9780316072212,HUK AGED ASSORTED,MO065219,Y,9781408359532,OSCAR THE HUNG,23030247,BOOKPOINT,HACHETTE CHILDREN`S,ORCHARD BOOKS,10.99,12.99,2020-07-14,1,12.99,0.39
9780316072212,HUK AGED ASSORTED,MO065219,Y,9781408361887,BEAST QUEST: G,23030202,BOOKPOINT,HACHETTE CHILDREN`S,ORCHARD BOOKS,7.99,10.99,2021-01-12,11,120.89,3.63
9780316072212,HUK AGED ASSORTED,MO065219,Y,9781408362143,BEAST QUEST:,23030202,BOOKPOINT,HACHETTE CHILDREN`S,ORCHARD BOOKS,7.99,10.99,2021-11-30,2,21.98,0.66
9780316072212,HUK AGED ASSORTED,MO065219,Y,9781408362181,BEAST QUEST:,23030202,BOOKPOINT,HACHETTE CHILDREN`S,ORCHARD BOOKS,7.99,10.99,2021-11-23,1,10.99,0.33
9780316072212,HUK AGED ASSORTED,MO065219,Y,9781408365298,BEASTQ DDTHFSH,23030202,BOOKPOINT,HACHETTE CHILDREN`S,ORCHARD BOOKS,7.99,10.99,2022-03-01,1,10.99,0.33
9780316072212,HUK AGED ASSORTED,MO065219,Y,9781408365403,BEAST QUEST: K,23030202,BOOKPOINT,HACHETTE CHILDREN`S,ORCHARD BOOKS,9.99,11.99,2022-12-13,1,11.99,0.36
9780316072212,HUK AGED ASSORTED,MO065219,Y,9781510105836,ISS VIPER,23030302,BOOKPOINT,HACHETTE CHILDREN`S,ORION CHILDREN`S,13.99,15.99,2022-06-21,1,15.99,0.48
9780316072212,HUK AGED ASSORTED,MO065219,Y,9781510105874,ISS VULTURE,23030302,BOOKPOINT,HACHETTE CHILDREN`S,ORION CHILDREN`S,13.99,15.99,2022-06-21,1,15.99,0.48
9780316072212,HUK AGED ASSORTED,MO065219,Y,9780750296830,FROG OLYMPICS,23031002,BOOKPOINT,HACHETTE CHILDREN`S,WAYLAND,9.99,11.99,2017-07-04,2,23.98,0.72
9780316072212,HUK AGED ASSORTED,MO065219,Y,9780750297097,ENDRNCE SHCKTN,23031002,BOOKPOINT,HACHETTE CHILDREN`S,WAYLAND,12.99,13.99,2016-10-18,1,13.99,0.42
